lat_bin,lon_bin,zone_count,zone_avg_mag,zone_max_mag,zone_std_mag,zone_avg_depth,zone_avg_plate,zone_rate
-50.0,114.0,6,5.566666666666666,5.7,0.0816496580927725,10.0,0.9506966837117746,0.11538461538461539
-50.0,116.0,1,5.7,5.7,0.0,10.0,0.9665835094484727,0.019230769230769232
-50.0,118.0,3,5.5,5.5,0.0,17.666666666666668,0.967152299742755,0.057692307692307696
-50.0,120.0,1,5.7,5.7,0.0,3.0,0.9380234695272519,0.019230769230769232
-50.0,124.0,3,5.533333333333334,5.6,0.05773502691896237,17.666666666666668,0.9603845412600306,0.057692307692307696
-50.0,126.0,5,5.58,5.8,0.13038404810405296,10.0,0.964493652726038,0.09615384615384616
-50.0,128.0,1,5.6,5.6,0.0,33.0,0.9571365355413058,0.019230769230769232
-50.0,130.0,1,5.5,5.5,0.0,10.0,0.9268028885896425,0.019230769230769232
-50.0,138.0,1,6.0,6.0,0.0,10.0,0.9682370699647717,0.019230769230769232
-50.0,140.0,14,6.071428571428571,6.6,0.26144148169647513,14.678571428571429,0.9402561773578624,0.2692307692307692
-50.0,162.0,7,6.1571428571428575,8.1,0.9015859043136948,12.385714285714286,0.8845177417491429,0.1346153846153846
-50.0,164.0,19,6.042105263157895,7.4,0.5500664499996383,15.394736842105264,0.9243175558868119,0.36538461538461536
-48.0,-76.0,2,5.6,5.6,0.0,33.0,0.8226416323161052,0.038461538461538464
-48.0,-16.0,1,6.1,6.1,0.0,15.0,0.6643652564561939,0.019230769230769232
-48.0,-14.0,3,5.766666666666667,5.8,0.05773502691896237,17.666666666666668,0.9553853283860576,0.057692307692307696
-48.0,-12.0,3,5.766666666666667,6.0,0.20816659994661338,10.0,0.9518346393022136,0.057692307692307696
-48.0,-10.0,4,5.625,5.8,0.12583057392117922,10.0,0.9551686789544257,0.07692307692307693
-48.0,32.0,9,6.0,6.3,0.19999999999999993,11.944444444444445,0.9053805646596366,0.17307692307692307
-48.0,34.0,2,5.85,6.2,0.49497474683058307,10.0,0.9368983827807091,0.038461538461538464
-48.0,86.0,1,7.1,7.1,0.0,35.0,0.3673381395748637,0.019230769230769232
-48.0,100.0,17,5.923529411764706,6.6,0.32312809334052395,14.058823529411764,0.9621873021527916,0.3269230769230769
-48.0,102.0,1,5.5,5.5,0.0,10.0,0.8803576807356611,0.019230769230769232
-48.0,106.0,1,5.5,5.5,0.0,10.0,0.9629510997113288,0.019230769230769232
-48.0,112.0,1,6.0,6.0,0.0,15.0,0.7652914458048838,0.019230769230769232
-48.0,124.0,4,5.8,5.9,0.14142135623730975,15.75,0.9485318491982073,0.07692307692307693
-48.0,136.0,1,5.7,5.7,0.0,10.0,0.5974414945138276,0.019230769230769232
-48.0,164.0,4,6.125,7.6,0.9844626283748239,18.5,0.9270689710642416,0.07692307692307693
-48.0,166.0,6,5.633333333333333,5.9,0.15055453054181644,32.0,0.854208990396866,0.11538461538461539
-46.0,-102.0,1,5.6,5.6,0.0,33.0,0.12792730679561634,0.019230769230769232
-46.0,-94.0,1,5.5,5.5,0.0,10.0,0.29690632143095586,0.019230769230769232
-46.0,-80.0,3,5.833333333333333,5.9,0.05773502691896301,17.666666666666668,0.9105275593869683,0.057692307692307696
-46.0,-78.0,2,6.0,6.1,0.141421356237309,21.0,0.9186297948993738,0.038461538461538464
-46.0,-76.0,9,5.644444444444444,5.9,0.18104634152000373,19.344444444444445,0.9482542991500797,0.17307692307692307
-46.0,-74.0,2,5.85,6.1,0.3535533905932738,18.95,0.6841807706949545,0.038461538461538464
-46.0,-72.0,5,5.86,6.2,0.3209361307176241,21.360000000000003,0.5057353515552637,0.09615384615384616
-46.0,-20.0,1,5.7,5.7,0.0,33.0,0.5202525659939138,0.019230769230769232
